ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
83.750996,-67.020187                    ,083.7510198,-67.0201956,11.026, 1, ,10.870, 1, ,      ,  , ,      ,  , ,11.002, 2,.

83.81932,-69.677345                     ,083.8192948,-69.6773412,10.736, 1, ,10.692, 1, ,10.670, 1, ,10.616, 1, ,10.679, 1,

83.879608,-66.756744                    ,083.8796230,-66.7567159,12.219, 3,.,11.880, 2,.,12.005, 3,.,11.853, 1,.,11.883, 2,.

83.898897,-67.656158,,,,,,,,,,,,,,,,,

83.923293,-69.854126                    ,083.9233242,-69.8541353,11.987, 2,.,11.796, 1,.,11.818, 6,.,11.791, 2,.,11.812, 1,.

83.923707,-69.198441                    ,083.9237286,-69.1984487,13.205, 6,.,12.471, 0,.,12.848, 4,.,12.100, 2,.,11.381, 1,

83.961629,-67.441521                    ,083.9616209,-67.4415164,11.885, 4,.,11.798, 1,.,11.783, 0,.,11.854, 1,.,11.979, 3,.

83.99922,-69.189514                     ,083.9992462,-69.1895214,13.733, 2,.,13.383, 3,.,13.500, 3,.,13.249, 3,.,13.117, 3,.

84.004767,-66.844955                    ,084.0047327,-66.8449309,13.586, 2,.,12.385, 1,.,12.940, 1,.,12.027, 1,.,11.746, 2,.

84.015786,-69.025024                    ,084.0158080,-69.0250387,12.924, 4,.,12.572, 3,.,12.703, 2,.,12.524, 3,.,12.510, 2,.

84.018773,-69.402321                    ,084.0187889,-69.4023184,10.394, 3,.,10.312, 0,.,10.436, 1, ,10.351, 1, ,10.480, 2,.

84.041992,-68.928085                    ,084.0419865,-68.9281234,10.747, 4,.,10.319, 2,.,10.546, 1, ,10.252, 1, ,10.146, 1,.

84.071263,-69.184341                    ,084.0712292,-69.1843681,12.090, 6,.,11.958, 2,.,11.948, 2,.,12.013, 3,.,12.096, 2,.

84.089472,-69.113281                    ,084.0895212,-69.1133231,11.709, 6,.,11.626, 1,.,11.589, 4,.,11.699, 1,.,11.806, 2,.

84.104967,-69.692101                    ,084.1049518,-69.6920973,12.681,17,.,11.821,13,.,12.184,19,.,11.573, 9,.,11.300,12,.

84.111621,-69.397614                    ,084.1115439,-69.3975792,11.933, 1, ,10.707, 1, ,11.320, 1, ,      ,  , , 9.819, 1,

84.134891,-68.900429                    ,084.1348998,-68.9004728,10.647, 5,.,10.313, 1,.,10.535, 7,.,10.267, 2,.,10.228, 1,.

84.143504,-67.675377                    ,084.1434995,-67.6753737,12.823, 4,.,12.347, 1,.,12.536, 2,.,12.243, 1,.,12.161, 0,.

84.179477,-69.148239                    ,084.1794871,-69.1482587,11.940, 6,.,11.527, 2,.,11.680, 5,.,11.428, 3,.,11.325, 1,.

84.182111,-69.496521                    ,084.1820483,-69.4965184,10.242,11,.,10.154,11,.,10.248, 1, ,10.054, 1, ,10.249,14,.

84.196636,-66.762772                    ,084.1966186,-66.7627789,11.788, 2,.,10.771, 1,.,11.234, 1, ,10.491, 1, ,10.307, 2,.

